Device,Max Clients,Unique Clients,Building
Kuykendall 107 Hallway,5,7,Kuykendall
Kuykendall 616 Hallway,0,3,Kuykendall
Holmes 142B,3,3,Holmes Hall
Holmes 142 Mauka,0,0,Holmes Hall
Holmes 336 Hallway,1,5,Holmes Hall
Kuykendall 304,0,0,Kuykendall
Holmes 348D,2,3,Holmes Hall
Kuykendall 523 Hallway,0,1,Kuykendall
Holmes 306,0,1,Holmes Hall
Kuykendall 209 DH,1,7,Kuykendall
Holmes 308,1,2,Holmes Hall
Kuykendall 621 Hallway,0,1,Kuykendall
Holmes 181 Hallway,2,48,Holmes Hall
Holmes 386,0,1,Holmes Hall
Holmes 140A,1,1,Holmes Hall
Holmes 350A,1,1,Holmes Hall
Kuykendall 408,0,2,Kuykendall
Kuykendall 223 Hallway,2,4,Kuykendall
Kuykendall 310,1,6,Kuykendall
Kuykendall 424 Hallway,0,0,Kuykendall
Holmes 183,1,2,Holmes Hall
Holmes 388,0,0,Holmes Hall
Holmes 286 Hallway,0,2,Holmes Hall
Kuykendall 401A,1,2,Kuykendall
Kuykendall 201 Hallway,1,5,Kuykendall
Kuykendall 305,1,5,Kuykendall
Kuykendall 101 Hallway DH,1,3,Kuykendall
Holmes 458,1,1,Holmes Hall
Holmes 288A,2,2,Holmes Hall
Holmes 457,0,1,Holmes Hall
Holmes 288,0,1,Holmes Hall
Kuykendall 407,1,8,Kuykendall
Kuykendall 101 Hallway Ewa,0,0,Kuykendall
Kuykendall 303,0,2,Kuykendall
Kuykendall 301 Ewa,1,1,Kuykendall
Holmes 300 Hallway,1,2,Holmes Hall
Holmes 382 Hallway,1,2,Holmes Hall
Holmes 341 Hallway,2,5,Holmes Hall
Holmes 407,2,3,Holmes Hall
Kuykendall 309,0,2,Kuykendall
Holmes 451,2,2,Holmes Hall
Holmes 304 Hallway,1,2,Holmes Hall
Holmes 182,0,1,Holmes Hall
Kuykendall 306 DH,0,3,Kuykendall
Kuykendall 301 DH,0,4,Kuykendall
Holmes 102MA,1,1,Holmes Hall
Holmes 181,1,2,Holmes Hall
Kuykendall 516 Hallway,1,4,Kuykendall
Holmes 458 Hallway,6,7,Holmes Hall
Kuykendall 724 Hallway,4,4,Kuykendall
Kuykendall 614 Hallway,1,3,Kuykendall
Holmes 358,2,3,Holmes Hall
Kuykendall 216 Hallway,0,2,Kuykendall
Holmes 387,0,1,Holmes Hall
Holmes 385 Hallway,0,9,Holmes Hall
