Device,Max Clients,Unique Clients,Building
Art 314,1,18,Art
Art 110,0,5,Art
Art 119A,2,34,Art
Sakamaki D301 Hallway,1,3,Sakamaki
Sakamaki B401 Hallway,0,8,Sakamaki
Sakamaki C301,1,3,Sakamaki
Sakamaki A104,1,22,Sakamaki
Sakamaki A300,1,1,Sakamaki
Sakamaki A102,1,18,Sakamaki
Sakamaki D306 Hallway,2,3,Sakamaki
Sakamaki C103,0,14,Sakamaki
Sakamaki C204B,3,10,Sakamaki
Sakamaki B309,1,1,Sakamaki
Sakamaki BET,1,1,Sakamaki
Sakamaki B211,0,3,Sakamaki
Sakamaki A415 Hallway,3,4,Sakamaki
Sakamaki D202H Hallway,2,4,Sakamaki
Sakamaki A201 Hallway,0,1,Sakamaki
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,1,Moore Hall
Moore 383 Hallway,1,1,Moore Hall
Moore 402 Hallway,4,4,Moore Hall
Moore 257,1,9,Moore Hall
Moore 255 Hallway,2,4,Moore Hall
Moore 457 Hallway,1,4,Moore Hall
Moore 585 Hallway,6,11,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,6,8,Moore Hall
Moore 365 Hallway,1,1,Moore Hall
Moore 570 Hallway,5,16,Moore Hall
Moore 428,2,4,Moore Hall
Moore 455 Hallway,0,1,Moore Hall
Moore 416,1,3,Moore Hall
Moore 319,1,3,Moore Hall
Moore 107,3,12,Moore Hall
Moore 560 Hallway,4,5,Moore Hall
Moore 155B,2,5,Moore Hall
Moore 470,2,2,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,2,2,Moore Hall
Moore 225,0,8,Moore Hall
Moore 153B,0,17,Moore Hall
Moore 259,4,8,Moore Hall
Moore 211 Hallway,1,2,Moore Hall
Moore 120,1,4,Moore Hall
Moore 203,0,3,Moore Hall
Moore 105,0,4,Moore Hall
Moore 224,1,1,Moore Hall
Moore 421 Hallway,1,5,Moore Hall
Moore 414 Hallway,1,1,Moore Hall
Moore 226,0,0,Moore Hall
Moore 207,0,1,Moore Hall
Moore 208A Hallway,0,6,Moore Hall
Moore 254,1,6,Moore Hall
Moore 394,3,3,Moore Hall
Moore 206,1,9,Moore Hall
Moore 228 Mauka,1,9,Moore Hall
Hamilton P3 456,0,2,Hamilton Library
Hamilton P1 003 - INS Commons Area,0,0,Hamilton Library
Hamilton P3 356 Makai,1,3,Hamilton Library
Hamilton P3 550,1,3,Hamilton Library
Hamilton P2 235 Hallway,0,0,Hamilton Library
Hamilton P2 112B,4,40,Hamilton Library
Hamilton P2 109A,3,27,Hamilton Library
Hamilton P3 A260 Mauka,0,0,Hamilton Library
Hamilton P2 504,0,1,Hamilton Library
Hamilton P3 553,0,1,Hamilton Library
Hamilton P3 356 Mauka,1,2,Hamilton Library
Hamilton P3 552 DH,5,7,Hamilton Library
Hamilton P3 354A DH,1,2,Hamilton Library
Hamilton P2 526,0,1,Hamilton Library
Hamilton P3 150A,1,5,Hamilton Library
Hamilton P3 A153,0,7,Hamilton Library
Hamilton P2 114A/113,2,29,Hamilton Library
Hamilton P3 Bridge,0,9,Hamilton Library
Hamilton P3 A260 Makai,1,3,Hamilton Library
Hamilton P3 456 Mauka,0,1,Hamilton Library
Hamilton P2 008I Hallway,0,1,Hamilton Library
Hamilton P2 401,2,2,Hamilton Library
Hamilton P3 456 Makai,1,4,Hamilton Library
Hamilton P3 454A DH,0,2,Hamilton Library
Hamilton P3 A261 Study Area,0,1,Hamilton Library
Hamilton P3 151E,1,1,Hamilton Library
Hamilton P3 150A Study Area,0,10,Hamilton Library
Hamilton P3 553C,1,13,Hamilton Library
Hamilton P3 356,1,4,Hamilton Library
Hamilton P3 258,1,7,Hamilton Library
Hamilton P2 501,1,1,Hamilton Library
Hamilton P2 120,0,6,Hamilton Library
Hamilton P2 200 Elevator7 Column,1,5,Hamilton Library
Hamilton P2 110A,2,20,Hamilton Library
Hamilton 412 Hallway,0,0,Hamilton Library
Hamilton P1 100 CLIC,9,23,Hamilton Library
Hamilton 4th Fl Asia 39,0,0,Hamilton Library
